Tech;Duplex;BW;N_ant;Band;Chamber;Polarization;Transf;Throughput;PcktRetr;Ptx;Prx;Pl;Time;RTTmin;RTTavg;RTTmax;RTTmdev
4G;FDD;10;MIMO;1;anecoica;1;68.1;57.1;833;15;15;0;14015;18.930;27.266;37.218;
4G;FDD;10;MIMO;1;anecoica;1;69.4;58.2;830;15;15;0;14014;18.965;27.848;38.031;
4G;FDD;10;MIMO;1;anecoica;1;70.8;59.4;811;15;15;0;14014;19.010;27.788;37.996;
4G;FDD;10;MIMO;1;anecoica;1;70.0;58.7;881;15;15;0;14016;18.957;27.857;37.005;
4G;FDD;10;MIMO;1;anecoica;1;70.8;59.4;1196;15;15;0;14013;18.985;27.622;38.018;
4G;FDD;10;MIMO;1;anecoica;1;69.5;58.3;774;15;15;0;14017;18.917;28.288;37.964;
4G;FDD;10;MIMO;1;anecoica;1;71.3;59.8;820;15;15;0;14015;19.284;28.787;38.004;
4G;FDD;10;MIMO;1;anecoica;1;69.8;58.6;1063;15;15;0;14037;22.984;98.607;1.062.033;
4G;FDD;10;MIMO;1;anecoica;1;71.0;59.6;611;15;15;0;14015;18.316;27.643;37.038;
4G;FDD;10;MIMO;1;anecoica;1;69.0;57.9;805;15;15;0;14014;19.048;28.660;37.965;
4G;FDD;10;MIMO;1;anecoica;1;69.8;58.5;664;15;15;0;14014;18.978;27.814;37.984;
4G;FDD;10;MIMO;1;anecoica;1;69.6;58.4;469;15;15;0;14015;18.995;27.137;37.901;
4G;FDD;10;MIMO;1;anecoica;1;69.0;57.9;731;15;15;0;14016;18.841;27.524;37.052;
4G;FDD;10;MIMO;1;anecoica;1;71.4;59.9;883;15;15;0;14014;18.991;27.633;37.947;
4G;FDD;10;MIMO;1;anecoica;1;70.0;58.7;779;15;15;0;14015;18.680;27.023;37.064;
4G;FDD;10;MIMO;1;anecoica;1;69.9;58.7;789;15;15;0;14002;25.977;26.922;28.305;
4G;FDD;10;MIMO;1;anecoica;1;69.5;58.3;593;15;15;0;14016;18.746;27.724;37.056;
4G;FDD;10;MIMO;1;anecoica;1;70.8;59.4;559;15;15;0;14013;18.398;25.905;36.967;
4G;FDD;10;MIMO;1;anecoica;1;69.3;58.1;661;15;15;0;14016;19.037;28.257;38.084;
4G;FDD;10;MIMO;1;anecoica;1;70.9;59.5;641;15;15;0;14017;18.962;27.978;37.871;
4G;FDD;10;MIMO;1;anecoica;2;112;94.0;907;15;15;0;14016;18.942;28.321;37.920;
4G;FDD;10;MIMO;1;anecoica;2;110;92.6;752;15;15;0;14001;26.942;27.315;28.200;
4G;FDD;10;MIMO;1;anecoica;2;111;93.2;693;15;15;0;14017;18.981;28.103;37.890;
4G;FDD;10;MIMO;1;anecoica;2;110;92.2;856;15;15;0;14010;19.919;30.901;37.964;
4G;FDD;10;MIMO;1;anecoica;2;110;92.4;516;15;15;0;14017;19.870;28.342;37.962;
4G;FDD;10;MIMO;1;anecoica;2;110;92.4;622;15;15;0;14042;24.998;100.109;1.063.945;
4G;FDD;10;MIMO;1;anecoica;2;111;92.8;771;15;15;0;14016;19.024;27.997;37.959;
4G;FDD;10;MIMO;1;anecoica;2;111;93.0;961;15;15;0;14016;18.963;28.551;37.922;
4G;FDD;10;MIMO;1;anecoica;2;110;92.1;647;15;15;0;14016;19.961;29.350;38.149;
4G;FDD;10;MIMO;1;anecoica;2;111;93.4;732;15;15;0;14015;18.928;28.123;37.929;
4G;FDD;10;MIMO;1;anecoica;2;111;93.0;629;15;15;0;14002;25.971;72.216;708.343;
4G;FDD;10;MIMO;1;anecoica;2;110;92.4;635;15;15;0;14020;18.879;27.627;36.958;
4G;FDD;10;MIMO;1;anecoica;2;112;93.6;765;15;15;0;14017;19.946;29.546;37.862;
4G;FDD;10;MIMO;1;anecoica;2;111;92.7;755;15;15;0;14016;18.961;27.997;36.973;
4G;FDD;10;MIMO;1;anecoica;2;110;92.4;766;15;15;0;14016;18.945;28.422;37.191;
4G;FDD;10;MIMO;1;anecoica;2;111;92.8;803;15;15;0;14016;19.959;29.218;38.056;
4G;FDD;10;MIMO;1;anecoica;2;111;92.9;440;15;15;0;14016;18.899;28.272;37.842;
4G;FDD;10;MIMO;1;anecoica;2;110;92.6;541;15;15;0;14030;18.953;92.833;1.042.842;
4G;FDD;10;MIMO;1;anecoica;2;109;91.2;1114;15;15;0;14018;18.965;27.743;37.014;
4G;FDD;10;MIMO;1;anecoica;2;107;89.9;442;15;15;0;14017;19.937;28.888;37.984;
4G;FDD;10;MIMO;1;anecoica;3;111;93.5;837;15;15;0;14017;18.905;28.922;37.789;
4G;FDD;10;MIMO;1;anecoica;3;111;93.4;1046;15;15;0;14015;18.989;28.029;37.981;
4G;FDD;10;MIMO;1;anecoica;3;109;91.6;411;15;15;0;14017;18.974;28.894;37.935;
4G;FDD;10;MIMO;1;anecoica;3;110;92.3;547;15;15;0;14015;18.980;28.788;37.970;
4G;FDD;10;MIMO;1;anecoica;3;111;93.0;385;15;15;0;14016;18.930;27.738;37.023;
4G;FDD;10;MIMO;1;anecoica;3;111;92.9;1179;15;15;0;14016;19.826;28.348;37.948;
4G;FDD;10;MIMO;1;anecoica;3;112;93.8;675;15;15;0;14017;18.964;29.043;37.964;
4G;FDD;10;MIMO;1;anecoica;3;111;93.0;618;15;15;0;14017;18.830;27.747;36.963;
4G;FDD;10;MIMO;1;anecoica;3;110;92.5;701;15;15;0;14020;18.962;28.706;37.055;
4G;FDD;10;MIMO;1;anecoica;3;111;93.5;594;15;15;0;14019;18.957;28.229;37.016;
4G;FDD;10;MIMO;1;anecoica;3;111;92.9;531;15;15;0;14016;18.902;27.789;37.001;
4G;FDD;10;MIMO;1;anecoica;3;111;93.5;987;15;15;0;14017;18.942;28.420;37.732;
4G;FDD;10;MIMO;1;anecoica;3;111;93.3;612;15;15;0;14017;18.969;27.780;37.939;
4G;FDD;10;MIMO;1;anecoica;3;110;92.6;754;15;15;0;14040;18.845;93.660;1.057.000;
4G;FDD;10;MIMO;1;anecoica;3;110;92.5;1034;15;15;0;14015;19.565;28.718;37.985;
4G;FDD;10;MIMO;1;anecoica;3;110;92.4;673;15;15;0;14016;19.920;28.263;37.964;
4G;FDD;10;MIMO;1;anecoica;3;111;93.1;499;15;15;0;14018;18.971;28.341;38.047;
4G;FDD;10;MIMO;1;anecoica;3;111;93.5;484;15;15;0;14015;19.807;28.773;38.101;
4G;FDD;10;MIMO;1;anecoica;3;109;91.6;719;15;15;0;14017;19.006;28.995;37.984;
4G;FDD;10;MIMO;1;anecoica;3;111;93.4;624;15;15;0;14016;19.948;28.463;37.969;
4G;FDD;10;MIMO;1;rever;1;97.8;82.0;1057;15;15;0;14017;18.910;29.613;41.975;
4G;FDD;10;MIMO;1;rever;1;97.3;81.6;467;15;15;0;14017;19.918;29.226;38.041;
4G;FDD;10;MIMO;1;rever;1;96.0;80.6;885;15;15;0;14017;19.735;29.978;37.979;
4G;FDD;10;MIMO;1;rever;1;96.8;81.2;863;15;15;0;14017;19.523;28.576;37.964;
4G;FDD;10;MIMO;1;rever;1;98.1;82.3;719;15;15;0;14027;21.037;96.415;1.048.182;
4G;FDD;10;MIMO;1;rever;1;97.1;81.5;1685;15;15;0;14019;19.930;28.499;37.962;
